Row_ID,Order_ID,Order_Date,Ship_Date,Shipping_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,DaysToShip
1,CA-2013-152156,2013-11-09,2013-11-12,Second class,CG-12520,Claire Gute,Consumer,United states,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Furniture,Bush Somerset Collection Bookcase,261.96,2,0.00,41.91,3
2,CA-2013-152156,2013-11-09,2013-11-12,Second class,CG-12520,Claire Gute,Consumer,United states,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.00,219.58,3
3,CA-2013-138688,2013-06-13,2013-06-17,Second class,DV-13045,Darrin Van Huff,Corporate,United states,Los angeles,California,90036,West,OFF-LA-10000240,Office supplies,Office supplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.00,6.87,4
4,US-2012-108966,2012-10-11,2012-10-18,Standard class,SO-20335,Sean O'Donnell,Consumer,United states,Fort lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03,7
5,US-2012-108966,2012-10-11,2012-10-18,Standard class,SO-20335,Sean O'Donnell,Consumer,United states,Fort lauderdale,Florida,33311,South,OFF-ST-10000760,Office supplies,Office supplies,Eldon Fold 'N Roll Cart System,22.37,2,0.20,2.52,7
6,CA-2011-115812,2011-06-09,2011-06-14,Standard class,BH-11710,Brosina Hoffman,Consumer,United states,Los angeles,California,90032,West,FUR-FU-10001487,Furniture,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.00,14.17,5
7,CA-2011-115812,2011-06-09,2011-06-14,Standard class,BH-11710,Brosina Hoffman,Consumer,United states,Los angeles,California,90032,West,OFF-AR-10002833,Office supplies,Office supplies,Newell 322,7.28,4,0.00,1.97,5
8,CA-2011-115812,2011-06-09,2011-06-14,Standard class,BH-11710,Brosina Hoffman,Consumer,United states,Los angeles,California,90032,West,TEC-PH-10002275,Technology,Technology,Mitel 5320 IP Phone VoIP phone,907.15,6,0.20,90.72,5
9,CA-2011-115812,2011-06-09,2011-06-14,Standard class,BH-11710,Brosina Hoffman,Consumer,United states,Los angeles,California,90032,West,OFF-BI-10003910,Office supplies,Office supplies,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3,0.20,5.78,5
10,CA-2011-115812,2011-06-09,2011-06-14,Standard class,BH-11710,Brosina Hoffman,Consumer,United states,Los angeles,California,90032,West,OFF-AP-10002892,Office supplies,Office supplies,Belkin F5C206VTEL 6 Outlet Surge,114.90,5,0.00,34.47,5
11,CA-2011-115812,2011-06-09,2011-06-14,Standard class,BH-11710,Brosina Hoffman,Consumer,United states,Los angeles,California,90032,West,FUR-TA-10001539,Furniture,Furniture,Chromcraft Rectangular Conference Tables,1706.18,9,0.20,85.31,5
12,CA-2011-115812,2011-06-09,2011-06-14,Standard class,BH-11710,Brosina Hoffman,Consumer,United states,Los angeles,California,90032,West,TEC-PH-10002033,Technology,Technology,Konftel 250 Conference phone - Charcoal black,911.42,4,0.20,68.36,5
13,CA-2014-114412,2014-04-16,2014-04-21,Standard class,AA-10480,Andrew Allen,Consumer,United states,Concord,North carolina,28027,South,OFF-PA-10002365,Office supplies,Office supplies,Xerox 1967,15.55,3,0.20,5.44,5
14,CA-2013-161389,2013-12-06,2013-12-11,Standard class,IM-15070,Irene Maddox,Consumer,United states,Seattle,Washington,98103,West,OFF-BI-10003656,Office supplies,Office supplies,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.20,132.59,5
15,US-2012-118983,2012-11-22,2012-11-26,Standard class,HP-14815,Harold Pawlan,Home office,United states,Fort worth,Texas,76106,Central,OFF-AP-10002311,Office supplies,Office supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.80,-123.86,4
16,US-2012-118983,2012-11-22,2012-11-26,Standard class,HP-14815,Harold Pawlan,Home office,United states,Fort worth,Texas,76106,Central,OFF-BI-10000756,Office supplies,Office supplies,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3,0.80,-3.82,4
17,CA-2011-105893,2011-11-11,2011-11-18,Standard class,PK-19075,Pete Kriz,Consumer,United states,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office supplies,Office supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.00,13.32,7
18,CA-2011-167164,2011-05-13,2011-05-15,Second class,AG-10270,Alejandro Grove,Consumer,United states,West jordan,Utah,84084,West,OFF-ST-10000107,Office supplies,Office supplies,Fellowes Super Stor/Drawer,55.50,2,0.00,9.99,2
